	cls	score	score_best
bottomed	-1	0.00022362550660964456	0.00022362550660964456
brass	-1	0.00022351410790869577	0.00022351410790869577
411	-1	0.00022342311639666845	0.00022342311639666845
bored	-1	0.00022329772970361487	0.00022329772970361487
bronze	-1	0.00022302672835600024	0.00022302672835600024
burning	-1	0.00022301523193234683	0.00022301523193234683
bobbin	-1	0.000222851864912469	0.000222851864912469
34	-1	0.0002226363847153019	0.0002226363847153019
44	-1	0.0002226363847153019	0.0002226363847153019
blocked	-1	0.00022260068931000831	0.00022260068931000831
build	-1	0.00022248725541468818	0.00022248725541468818
building	-1	0.000222188362950281	0.000222188362950281
buildup	-1	0.00022203765495971395	0.00022203765495971395
324	-1	0.00022196395772621278	0.00022196395772621278
brought	-1	0.0002217075970881269	0.0002217075970881269
27bar	-1	0.0002215106090577115	0.0002215106090577115
26bar	-1	0.00022111457988252168	0.00022111457988252168
26	-1	0.00022079359685763794	0.00022079359685763794
badly	-1	0.0002205087804294409	0.0002205087804294409
615	-1	0.00022024201219310544	0.00022024201219310544
backwards	-1	0.00022019294386444317	0.00022019294386444317
616	-1	0.0002198652961826824	0.0002198652961826824
618	-1	0.0002198073225944093	0.0002198073225944093
630	-1	0.00021977557980378397	0.00021977557980378397
66	-1	0.0002195072073611711	0.0002195072073611711
613	-1	0.0002194137980814371	0.0002194137980814371
chearged	-1	0.0002193812504228635	0.0002193812504228635
axial	-1	0.0002193045410737666	0.0002193045410737666
auxiliary	-1	0.00021927180096550185	0.00021927180096550185
chhips	-1	0.00021899890849474174	0.00021899890849474174
6sn1118	-1	0.00021861747612154074	0.00021861747612154074
chilling	-1	0.0002182510488965601	0.0002182510488965601
chord	-1	0.00021808252306052832	0.00021808252306052832
710	-1	0.00021804317493110786	0.00021804317493110786
axiz	-1	0.0002180054350647263	0.0002180054350647263
61	-1	0.00021781221080772288	0.00021781221080772288
bags	-1	0.00021732720552302147	0.00021732720552302147
carts	-1	0.0002166507253137445	0.0002166507253137445
25a	-1	0.00021651527071938666	0.00021651527071938666
cb20	-1	0.00021638249737959293	0.00021638249737959293
adapter	-1	0.00021579129642531456	0.00021579129642531456
cb6	-1	0.00021557342163434448	0.00021557342163434448
banjo	-1	0.0002149566907365654	0.0002149566907365654
band	-1	0.00021494382702612292	0.00021494382702612292
ceiling	-1	0.0002146399945482527	0.0002146399945482527
ballast	-1	0.00021454504736489186	0.00021454504736489186
central	-1	0.0002144895461553894	0.0002144895461553894
baldor	-1	0.00021441322410897866	0.00021441322410897866
2030bar	-1	0.00021434267323132604	0.00021434267323132604
2024	-1	0.00021409691055897497	0.00021409691055897497
chamber	-1	0.0002140781454459771	0.0002140781454459771
600	-1	0.00021393384020674375	0.00021393384020674375
balancer	-1	0.0002137700201443896	0.0002137700201443896
deep	-1	0.0002137700201443896	0.0002137700201443896
