Original rank,New Tokens,P|S|I|X|R|U (Problem / solution / item / stop-word / redundant / unsure),Preferred label ,Notes
2345,temperature check,,,
2346,odor_come,,,
2347,pm poc,,,
2348,say_that,,,
2349,a115,,,
2350,not_work room,,,
2351,find exhaust_fan,,,
2352,check attic,P,check_request,
2353,poc_barbara,,,
2354,will_not start,,,
2355,nut,,,
2356,-PRON- cold,X,,
2357,run_24/7,,,
2358,repair system,,,
2359,reset vav,S,reset,
2360,talk_with customer,,,
2361,a227,,,
2362,furniture_move,,,
2363,repair water leak,S,repair,
2364,with_sponsor,,,
2365,cold office,P,cold,
2366,8,X,,
2367,water_detection alarm fan_section,,,
2368,verify_operation re_heat valve,,,
2369,temp_72 degree,,,
2370,verify temperature,P,check_request,
2371,cold calibrate_stat check_operation,,,
2372,repair freeze_stat,,,
2373,21,,,
2374,tomorrow,,,
2375,belt_2ea,,,
2376,room temperature very_warm,,,
2377,fan_fail booster,,,
2378,shop_02,,,
2379,a221,,,
2380,request check exhaust,,,
2381,different,,,
2382,find acu-10,,,
2383,question,,,
2384,s restroom,I,bathroom,
2385,a232,,,
2386,belt break,P,broken,
2387,water_loop,,,
2388,work unit,,,
2389,leak calibrate_stat,,,
2390,do_so,,,
2391,poc_kathryn,,,
2392,b226,,,
2393,check humidity,P,check_request,
2394,replaced_induction,,,
2395,low air_flow,,,
2396,replace control_valve calibrate_stat,,,
2397,room warm,,,
2398,replace reheat,S,replace,
2399,stat adjust_set point,,,
2400,valve close,,,
2401,complete m_slip,,,
2402,action_take replace_re,,,
2403,office hot rm,,,
2404,loose_wire,,,
2405,air set_point,,,
2406,poc_ann,,,
2407,acu-15,I,acu-15,
2408,update,,,
2409,personel,I,person,
2410,repair valve,S,repair,
2411,stem re_heat,,,
2412,poss,,,
2413,touch,,,
2414,description,,,
2415,adjsut,,,
2416,a153,,,
2417,poc_jennifer,,,
2418,poc phone_message,,,
2419,vortex_damper,,,
2420,reset restart,,,
2421,adjusted air_flow,,,
2422,clean unit,S,clean,
2423,acu-1 discharge,I,discharge,
2424,work system,,,
2425,236,I,,
2426,repair actuator,S,repair,
2427,d.,,,
2428,air leak calibrate_stat,,,
2429,reciev,,,
2430,another_m,,,
2431,replaced_induction unit,,,
2432,valve diaphragm,,,
2433,let,,,
2434,calibrate verify_operation,,,
2435,a229,,,
2436,70f,I,70F,
2437,removed,P,removed,
2438,b308,,,
2439,62_degree,I,62F,
2440,penthouse,I,,
2441,28,,,
2442,66*f,I,66F,
2443,leak unit,,,
2444,find contractor,,,
2445,_'s restroom,I,restroom,
2446,adjust stat for_70*f,,,
2447,pat,,,
2448,action_take reset_fs ok,,,
2449,pre_heat diaphragm,,,
2450,air_flow hood,,,
2451,high in_bldg,,,
2452,poc frank,,,
2453,action_take adjust_thermostat set_point,,,
2454,b149,,,
2455,action_take work,,,
2456,pre,,,
2457,mold,P,,
2458,tube,I,,
2459,dump,,,
2460,truck,,,
2461,jatin,I,person,
2462,cw,,,
2463,bldg 216,,,
2464,75_degree,I,75F,
2465,pack,,,
2466,hwc-1,,,
2467,bldg_217,,,
2468,valve_leaking,,,
2469,experience,,,
2470,contactor,I,person,
2471,run_constantly,,,
2472,temperature lab,,,
2473,a217,,,
2474,a354,,,
2475,b239,,,
2476,north,,,
2477,b325,,,
2478,coupling,I,,
2479,b355,,,
2480,flood,P,,
2481,a209,,,
2482,b166,,,
2483,freezer,I,,
2484,water_detection system,,,
2485,scott,I,person,
2486,key,,,
2487,blow hard,,,
2488,tolerance,,,
2489,-PRON- appear,X,,
2490,a118,,,
2491,directly,,,
2492,drill,I,,
2493,actuator diaphragm,R,,
2494,housing,I,,
2495,high temperature,P,hot,
2496,valve actuator verify_proper,,,
2497,b317,,,
2498,stat calibrate_stat,,,
2499,repair hot,,,
2500,action_take fabricate,,,
